os --> olhos -|- 97
e --> a -|- 96
é --> verdade -|- 9
é --> muito -|- 9
á --> janella -|- 9
vontade --> de -|- 9
veiu --> a -|- 9
um --> tanto -|- 9
um --> homem -|- 9
um --> filho -|- 9
tinha --> a -|- 9
se --> póde -|- 9
se --> eu -|- 9
se --> ella -|- 9
que --> tudo -|- 9
que --> seja -|- 9
que --> alli -|- 9
que --> ainda -|- 9
pé --> de -|- 9
por --> não -|- 9
pessoas --> que -|- 9
para --> casa -|- 9
pae --> de -|- 9
ou --> se -|- 9
os --> dedos -|- 9
olhos --> que -|- 9
o --> mar -|- 9
não --> só -|- 9
não --> sabia -|- 9
não --> queria -|- 9
não --> pude -|- 9
não --> posso -|- 9
não --> as -|- 9
não --> a -|- 9
no --> dia -|- 9
nem --> a -|- 9
necessidade --> de -|- 9
na --> cama -|- 9
minha --> vida -|- 9
mesma --> cousa -|- 9
mas --> era -|- 9
mas --> as -|- 9
lhe --> disse -|- 9
lhe --> deu -|- 9
eu --> era -|- 9
era --> preciso -|- 9
em --> voz -|- 9
elle --> me -|- 9
e --> é -|- 9
e --> á -|- 9
e --> mais -|- 9
e --> ao -|- 9
do --> costume -|- 9
disse-me --> que -|- 9
de --> Deus -|- 9
da --> morte -|- 9
como --> as -|- 9
cheio --> de -|- 9
cheia --> de -|- 9
certo --> que -|- 9
ao --> seminario -|- 9
access --> to -|- 9
a --> ver -|- 9
a --> quem -|- 9
a --> porta -|- 9
a --> outra -|- 9
a --> não -|- 9
a --> alma -|- 9
S --> Paulo -|- 9
Mas --> não -|- 9
Mas --> a -|- 9
Dias --> que -|- 9
que --> era -|- 81
é --> melhor -|- 8
á --> casa -|- 8
É --> o -|- 8
vinte --> e -|- 8
vi --> que -|- 8
verdade --> é -|- 8
this --> work -|- 8
tanto --> que -|- 8
só --> o -|- 8
sobre --> o -|- 8
sobre --> a -|- 8
seminario --> e -|- 8
se --> me -|- 8
se --> fosse -|- 8
sala --> de -|- 8
rua --> dos -|- 8
que --> tambem -|- 8
que --> Deus -|- 8
pé --> do -|- 8
primeiro --> filho -|- 8
ponto --> que -|- 8
para --> elle -|- 8
ou --> tres -|- 8
olhos --> e -|- 8
o --> nome -|- 8
o --> homem -|- 8
o --> gosto -|- 8
o --> discurso -|- 8
o --> caso -|- 8
não --> quer -|- 8
não --> menos -|- 8
não --> eram -|- 8
não --> achei -|- 8
mim --> mesmo -|- 8
meu --> filho -|- 8
mas --> Capitú -|- 8
ir --> ao -|- 8
homem --> que -|- 8
eu --> tinha -|- 8
eu --> que -|- 8
em --> um -|- 8
e --> por -|- 8
e --> assim -|- 8
disse --> elle -|- 8
depois --> que -|- 8
de --> outro -|- 8
de --> me -|- 8
de --> dentro -|- 8
de --> alguns -|- 8
de --> Santa -|- 8
da --> porta -|- 8
continuou --> a -|- 8
como --> um -|- 8
commigo --> e -|- 8
cabeça --> e -|- 8
by --> the -|- 8
ao --> contrario -|- 8
alguns --> minutos -|- 8
ainda --> mais -|- 8
ainda --> agora -|- 8
agora --> que -|- 8
a --> tal -|- 8
a --> senhora -|- 8
a --> promessa -|- 8
a --> pessoa -|- 8
a --> olhar -|- 8
a --> mulher -|- 8
a --> mais -|- 8
a --> dizer -|- 8
a --> Europa -|- 8
Não --> não -|- 8
Mas --> eu -|- 8
Já --> não -|- 8
Escobar --> e -|- 8
Era --> o -|- 8
Engenho --> Novo -|- 8
que --> se -|- 79
com --> a -|- 76
é --> provavel -|- 7
é --> certo -|- 7
ás --> vezes -|- 7
á --> missa -|- 7
you --> are -|- 7
voltando-se --> para -|- 7
ver --> a -|- 7
um --> capitulo -|- 7
um --> bom -|- 7
tudo --> é -|- 7
tudo --> se -|- 7
tudo --> e -|- 7
tambem --> e -|- 7
set --> forth -|- 7
sem --> que -|- 7
quiz --> saber -|- 7
quinze --> annos -|- 7
que --> pudesse -|- 7
que --> por -|- 7
que --> para -|- 7
que --> havia -|- 7
que --> está -|- 7
que --> esta -|- 7
protonotario --> apostolico -|- 7
porque --> o -|- 7
por --> exemplo -|- 7
pessoa --> que -|- 7
pensei --> em -|- 7
para --> se -|- 7
para --> as -|- 7
palavras --> que -|- 7
palavras --> de -|- 7
padre --> e -|- 7
os --> primeiros -|- 7
os --> nossos -|- 7
os --> cabellos -|- 7
os --> braços -|- 7
of --> Project -|- 7
o --> outro -|- 7
o --> favor -|- 7
o --> capitulo -|- 7
